dates,I
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,1
20/03/2020,1
21/03/2020,0
22/03/2020,4
23/03/2020,2
24/03/2020,6
25/03/2020,3
26/03/2020,8
27/03/2020,3
28/03/2020,11
29/03/2020,9
30/03/2020,18
31/03/2020,7
01/04/2020,160
02/04/2020,0
03/04/2020,75
04/04/2020,102
05/04/2020,74
06/04/2020,86
07/04/2020,50
08/04/2020,69
09/04/2020,48
10/04/2020,96
11/04/2020,77
12/04/2020,58
13/04/2020,106
14/04/2020,98
15/04/2020,31
16/04/2020,38
17/04/2020,25
18/04/2020,56
19/04/2020,49
20/04/2020,105
21/04/2020,43
22/04/2020,76
23/04/2020,33
24/04/2020,54
25/04/2020,72
26/04/2020,66
27/04/2020,64
28/04/2020,52
29/04/2020,121
30/04/2020,104
01/05/2020,161
02/05/2020,203
03/05/2020,231
04/05/2020,266
05/05/2020,527
06/05/2020,508
07/05/2020,771
08/05/2020,580
09/05/2020,600
10/05/2020,526
11/05/2020,669
12/05/2020,798
13/05/2020,716
14/05/2020,509
15/05/2020,447
16/05/2020,434
17/05/2020,477
18/05/2020,639
19/05/2020,536
20/05/2020,688
21/05/2020,743
22/05/2020,776
23/05/2020,786
24/05/2020,759
25/05/2020,765
26/05/2020,805
27/05/2020,646
28/05/2020,817
29/05/2020,827
30/05/2020,874
31/05/2020,938
01/06/2020,1149
02/06/2020,1162
03/06/2020,1091
04/06/2020,1286
05/06/2020,1384
06/06/2020,1438
07/06/2020,1458
08/06/2020,1515
09/06/2020,1562
10/06/2020,1685
11/06/2020,1927
12/06/2020,1875
13/06/2020,1982
14/06/2020,1989
15/06/2020,1974
16/06/2020,1843
17/06/2020,1515
18/06/2020,2174
19/06/2020,2141
20/06/2020,2115
21/06/2020,2396
22/06/2020,2532
23/06/2020,2710
24/06/2020,2516
25/06/2020,2865
26/06/2020,3509
27/06/2020,3645
28/06/2020,3713
29/06/2020,3940
30/06/2020,3949
01/07/2020,3943
02/07/2020,3882
03/07/2020,4343
04/07/2020,4329
05/07/2020,4280
06/07/2020,4150
07/07/2020,3827
08/07/2020,3616
09/07/2020,3756
10/07/2020,4231
11/07/2020,3680
12/07/2020,3965
